district,chamber,indicator,value,topic,type,format,order,topicOrder,pad,id
State House District 91,House,Other race population,2199,Race and ethnicity,table,",",8,13,091,620L500US09091
State House District 92,House,Other race population,1672,Race and ethnicity,table,",",8,13,092,620L500US09092
State House District 93,House,Other race population,1807,Race and ethnicity,table,",",8,13,093,620L500US09093
State House District 94,House,Other race population,2534,Race and ethnicity,table,",",8,13,094,620L500US09094
State House District 95,House,Other race population,908,Race and ethnicity,table,",",8,13,095,620L500US09095
State House District 96,House,Other race population,3305,Race and ethnicity,table,",",8,13,096,620L500US09096
State House District 97,House,Other race population,786,Race and ethnicity,table,",",8,13,097,620L500US09097
State House District 98,House,Other race population,909,Race and ethnicity,table,",",8,13,098,620L500US09098
State House District 99,House,Other race population,1381,Race and ethnicity,table,",",8,13,099,620L500US09099
State House District 100,House,Other race population,1829,Race and ethnicity,table,",",8,13,100,620L500US09100
State House District 101,House,Other race population,1247,Race and ethnicity,table,",",8,13,101,620L500US09101
State House District 102,House,Other race population,1554,Race and ethnicity,table,",",8,13,102,620L500US09102
State House District 103,House,Other race population,1642,Race and ethnicity,table,",",8,13,103,620L500US09103
State House District 104,House,Other race population,1183,Race and ethnicity,table,",",8,13,104,620L500US09104
State House District 105,House,Other race population,904,Race and ethnicity,table,",",8,13,105,620L500US09105
State House District 106,House,Other race population,855,Race and ethnicity,table,",",8,13,106,620L500US09106
State House District 107,House,Other race population,1910,Race and ethnicity,table,",",8,13,107,620L500US09107
State House District 108,House,Other race population,1309,Race and ethnicity,table,",",8,13,108,620L500US09108
State House District 109,House,Other race population,3330,Race and ethnicity,table,",",8,13,109,620L500US09109
State House District 110,House,Other race population,2726,Race and ethnicity,table,",",8,13,110,620L500US09110
State House District 111,House,Other race population,937,Race and ethnicity,table,",",8,13,111,620L500US09111
State House District 112,House,Other race population,1332,Race and ethnicity,table,",",8,13,112,620L500US09112
State House District 113,House,Other race population,1070,Race and ethnicity,table,",",8,13,113,620L500US09113
State House District 114,House,Other race population,2578,Race and ethnicity,table,",",8,13,114,620L500US09114
State House District 115,House,Other race population,1244,Race and ethnicity,table,",",8,13,115,620L500US09115
State House District 116,House,Other race population,2625,Race and ethnicity,table,",",8,13,116,620L500US09116
State House District 117,House,Other race population,1299,Race and ethnicity,table,",",8,13,117,620L500US09117
State House District 118,House,Other race population,1745,Race and ethnicity,table,",",8,13,118,620L500US09118
State House District 119,House,Other race population,1401,Race and ethnicity,table,",",8,13,119,620L500US09119
State House District 120,House,Other race population,1043,Race and ethnicity,table,",",8,13,120,620L500US09120
State House District 121,House,Other race population,1554,Race and ethnicity,table,",",8,13,121,620L500US09121
State House District 122,House,Other race population,1149,Race and ethnicity,table,",",8,13,122,620L500US09122
State House District 123,House,Other race population,1996,Race and ethnicity,table,",",8,13,123,620L500US09123
State House District 124,House,Other race population,1219,Race and ethnicity,table,",",8,13,124,620L500US09124
State House District 125,House,Other race population,1703,Race and ethnicity,table,",",8,13,125,620L500US09125
State House District 126,House,Other race population,1600,Race and ethnicity,table,",",8,13,126,620L500US09126
State House District 127,House,Other race population,1350,Race and ethnicity,table,",",8,13,127,620L500US09127
State House District 128,House,Other race population,1346,Race and ethnicity,table,",",8,13,128,620L500US09128
State House District 129,House,Other race population,1407,Race and ethnicity,table,",",8,13,129,620L500US09129
State House District 130,House,Other race population,1952,Race and ethnicity,table,",",8,13,130,620L500US09130
State House District 131,House,Other race population,1304,Race and ethnicity,table,",",8,13,131,620L500US09131
State House District 132,House,Other race population,1477,Race and ethnicity,table,",",8,13,132,620L500US09132
State House District 133,House,Other race population,2521,Race and ethnicity,table,",",8,13,133,620L500US09133
State House District 134,House,Other race population,972,Race and ethnicity,table,",",8,13,134,620L500US09134
State House District 135,House,Other race population,1252,Race and ethnicity,table,",",8,13,135,620L500US09135
State House District 136,House,Other race population,2172,Race and ethnicity,table,",",8,13,136,620L500US09136
State House District 137,House,Other race population,2015,Race and ethnicity,table,",",8,13,137,620L500US09137
State House District 138,House,Other race population,2127,Race and ethnicity,table,",",8,13,138,620L500US09138
State House District 139,House,Other race population,3079,Race and ethnicity,table,",",8,13,139,620L500US09139
State House District 140,House,Other race population,1434,Race and ethnicity,table,",",8,13,140,620L500US09140
State House District 141,House,Other race population,1777,Race and ethnicity,table,",",8,13,141,620L500US09141
State House District 142,House,Other race population,2195,Race and ethnicity,table,",",8,13,142,620L500US09142
State House District 143,House,Other race population,1510,Race and ethnicity,table,",",8,13,143,620L500US09143
State House District 144,House,Other race population,2730,Race and ethnicity,table,",",8,13,144,620L500US09144
State House District 145,House,Other race population,1111,Race and ethnicity,table,",",8,13,145,620L500US09145
State House District 146,House,Other race population,4310,Race and ethnicity,table,",",8,13,146,620L500US09146
State House District 147,House,Other race population,2322,Race and ethnicity,table,",",8,13,147,620L500US09147
State House District 148,House,Other race population,1861,Race and ethnicity,table,",",8,13,148,620L500US09148
State House District 149,House,Other race population,1462,Race and ethnicity,table,",",8,13,149,620L500US09149
State House District 150,House,Other race population,2767,Race and ethnicity,table,",",8,13,150,620L500US09150
State House District 151,House,Other race population,2648,Race and ethnicity,table,",",8,13,151,620L500US09151
State Senate District 1,Senate,Other race population,5807,Race and ethnicity,table,",",8,13,001,610U500US09001
State Senate District 2,Senate,Other race population,5393,Race and ethnicity,table,",",8,13,002,610U500US09002
State Senate District 3,Senate,Other race population,8439,Race and ethnicity,table,",",8,13,003,610U500US09003
State Senate District 4,Senate,Other race population,11946,Race and ethnicity,table,",",8,13,004,610U500US09004
State Senate District 5,Senate,Other race population,9205,Race and ethnicity,table,",",8,13,005,610U500US09005
State Senate District 6,Senate,Other race population,4926,Race and ethnicity,table,",",8,13,006,610U500US09006
State Senate District 7,Senate,Other race population,5594,Race and ethnicity,table,",",8,13,007,610U500US09007
State Senate District 8,Senate,Other race population,5306,Race and ethnicity,table,",",8,13,008,610U500US09008
State Senate District 9,Senate,Other race population,9779,Race and ethnicity,table,",",8,13,009,610U500US09009
State Senate District 10,Senate,Other race population,7890,Race and ethnicity,table,",",8,13,010,610U500US09010
State Senate District 11,Senate,Other race population,8049,Race and ethnicity,table,",",8,13,011,610U500US09011
State Senate District 12,Senate,Other race population,4307,Race and ethnicity,table,",",8,13,012,610U500US09012
State Senate District 13,Senate,Other race population,4628,Race and ethnicity,table,",",8,13,013,610U500US09013
State Senate District 14,Senate,Other race population,6227,Race and ethnicity,table,",",8,13,014,610U500US09014
State Senate District 15,Senate,Other race population,6089,Race and ethnicity,table,",",8,13,015,610U500US09015
State Senate District 16,Senate,Other race population,4243,Race and ethnicity,table,",",8,13,016,610U500US09016
State Senate District 17,Senate,Other race population,6713,Race and ethnicity,table,",",8,13,017,610U500US09017
State Senate District 18,Senate,Other race population,8529,Race and ethnicity,table,",",8,13,018,610U500US09018
State Senate District 19,Senate,Other race population,9132,Race and ethnicity,table,",",8,13,019,610U500US09019
State Senate District 20,Senate,Other race population,6735,Race and ethnicity,table,",",8,13,020,610U500US09020
State Senate District 21,Senate,Other race population,5037,Race and ethnicity,table,",",8,13,021,610U500US09021
State Senate District 22,Senate,Other race population,6714,Race and ethnicity,table,",",8,13,022,610U500US09022
State Senate District 23,Senate,Other race population,5928,Race and ethnicity,table,",",8,13,023,610U500US09023
State Senate District 24,Senate,Other race population,10047,Race and ethnicity,table,",",8,13,024,610U500US09024
State Senate District 25,Senate,Other race population,7421,Race and ethnicity,table,",",8,13,025,610U500US09025
State Senate District 26,Senate,Other race population,7148,Race and ethnicity,table,",",8,13,026,610U500US09026
State Senate District 27,Senate,Other race population,10685,Race and ethnicity,table,",",8,13,027,610U500US09027
State Senate District 28,Senate,Other race population,6372,Race and ethnicity,table,",",8,13,028,610U500US09028
State Senate District 29,Senate,Other race population,6433,Race and ethnicity,table,",",8,13,029,610U500US09029
State Senate District 30,Senate,Other race population,4305,Race and ethnicity,table,",",8,13,030,610U500US09030
State Senate District 31,Senate,Other race population,4057,Race and ethnicity,table,",",8,13,031,610U500US09031
State Senate District 32,Senate,Other race population,3085,Race and ethnicity,table,",",8,13,032,610U500US09032
State Senate District 33,Senate,Other race population,3670,Race and ethnicity,table,",",8,13,033,610U500US09033
State Senate District 34,Senate,Other race population,5747,Race and ethnicity,table,",",8,13,034,610U500US09034
State Senate District 35,Senate,Other race population,3834,Race and ethnicity,table,",",8,13,035,610U500US09035
State Senate District 36,Senate,Other race population,9298,Race and ethnicity,table,",",8,13,036,610U500US09036
Connecticut,State,Other race population,238718,Race and ethnicity,table,",",8,13,,Connecticut
State House District 1,House,Percent other race,0.064,Race and ethnicity,map,.0%,9,14,001,620L500US09001
State House District 2,House,Percent other race,0.06,Race and ethnicity,map,.0%,9,14,002,620L500US09002
State House District 3,House,Percent other race,0.039,Race and ethnicity,map,.0%,9,14,003,620L500US09003
State House District 4,House,Percent other race,0.078,Race and ethnicity,map,.0%,9,14,004,620L500US09004
State House District 5,House,Percent other race,0.026,Race and ethnicity,map,.0%,9,14,005,620L500US09005
State House District 6,House,Percent other race,0.061,Race and ethnicity,map,.0%,9,14,006,620L500US09006
State House District 7,House,Percent other race,0.05,Race and ethnicity,map,.0%,9,14,007,620L500US09007
State House District 8,House,Percent other race,0.03,Race and ethnicity,map,.0%,9,14,008,620L500US09008
State House District 9,House,Percent other race,0.155,Race and ethnicity,map,.0%,9,14,009,620L500US09009
State House District 10,House,Percent other race,0.044,Race and ethnicity,map,.0%,9,14,010,620L500US09010
State House District 11,House,Percent other race,0.158,Race and ethnicity,map,.0%,9,14,011,620L500US09011
State House District 12,House,Percent other race,0.099,Race and ethnicity,map,.0%,9,14,012,620L500US09012
State House District 13,House,Percent other race,0.091,Race and ethnicity,map,.0%,9,14,013,620L500US09013
State House District 14,House,Percent other race,0.119,Race and ethnicity,map,.0%,9,14,014,620L500US09014
State House District 15,House,Percent other race,0.053,Race and ethnicity,map,.0%,9,14,015,620L500US09015
State House District 16,House,Percent other race,0.049,Race and ethnicity,map,.0%,9,14,016,620L500US09016
State House District 17,House,Percent other race,0.077,Race and ethnicity,map,.0%,9,14,017,620L500US09017
State House District 18,House,Percent other race,0.068,Race and ethnicity,map,.0%,9,14,018,620L500US09018
State House District 19,House,Percent other race,0.106,Race and ethnicity,map,.0%,9,14,019,620L500US09019
State House District 20,House,Percent other race,0.134,Race and ethnicity,map,.0%,9,14,020,620L500US09020
State House District 21,House,Percent other race,0.116,Race and ethnicity,map,.0%,9,14,021,620L500US09021
State House District 22,House,Percent other race,0.047,Race and ethnicity,map,.0%,9,14,022,620L500US09022
State House District 23,House,Percent other race,0.053,Race and ethnicity,map,.0%,9,14,023,620L500US09023
State House District 24,House,Percent other race,0.054,Race and ethnicity,map,.0%,9,14,024,620L500US09024
State House District 25,House,Percent other race,0.044,Race and ethnicity,map,.0%,9,14,025,620L500US09025
State House District 26,House,Percent other race,0.059,Race and ethnicity,map,.0%,9,14,026,620L500US09026
State House District 27,House,Percent other race,0.085,Race and ethnicity,map,.0%,9,14,027,620L500US09027
State House District 28,House,Percent other race,0.066,Race and ethnicity,map,.0%,9,14,028,620L500US09028
State House District 29,House,Percent other race,0.144,Race and ethnicity,map,.0%,9,14,029,620L500US09029
State House District 30,House,Percent other race,0.039,Race and ethnicity,map,.0%,9,14,030,620L500US09030
State House District 31,House,Percent other race,0.08,Race and ethnicity,map,.0%,9,14,031,620L500US09031
State House District 32,House,Percent other race,0.025,Race and ethnicity,map,.0%,9,14,032,620L500US09032
State House District 33,House,Percent other race,0.095,Race and ethnicity,map,.0%,9,14,033,620L500US09033
State House District 34,House,Percent other race,0.047,Race and ethnicity,map,.0%,9,14,034,620L500US09034
State House District 35,House,Percent other race,0.024,Race and ethnicity,map,.0%,9,14,035,620L500US09035
State House District 36,House,Percent other race,0.027,Race and ethnicity,map,.0%,9,14,036,620L500US09036
State House District 37,House,Percent other race,0.077,Race and ethnicity,map,.0%,9,14,037,620L500US09037
State House District 38,House,Percent other race,0.069,Race and ethnicity,map,.0%,9,14,038,620L500US09038
State House District 39,House,Percent other race,0.067,Race and ethnicity,map,.0%,9,14,039,620L500US09039
State House District 40,House,Percent other race,0.085,Race and ethnicity,map,.0%,9,14,040,620L500US09040
State House District 41,House,Percent other race,0.117,Race and ethnicity,map,.0%,9,14,041,620L500US09041
State House District 42,House,Percent other race,0.128,Race and ethnicity,map,.0%,9,14,042,620L500US09042
State House District 43,House,Percent other race,0.067,Race and ethnicity,map,.0%,9,14,043,620L500US09043
State House District 44,House,Percent other race,0.061,Race and ethnicity,map,.0%,9,14,044,620L500US09044
State House District 45,House,Percent other race,0.056,Race and ethnicity,map,.0%,9,14,045,620L500US09045
State House District 46,House,Percent other race,0.111,Race and ethnicity,map,.0%,9,14,046,620L500US09046
State House District 47,House,Percent other race,0.043,Race and ethnicity,map,.0%,9,14,047,620L500US09047
State House District 48,House,Percent other race,0.044,Race and ethnicity,map,.0%,9,14,048,620L500US09048
State House District 49,House,Percent other race,0.046,Race and ethnicity,map,.0%,9,14,049,620L500US09049
State House District 50,House,Percent other race,0.018,Race and ethnicity,map,.0%,9,14,050,620L500US09050
State House District 51,House,Percent other race,0.026,Race and ethnicity,map,.0%,9,14,051,620L500US09051
State House District 52,House,Percent other race,0.039,Race and ethnicity,map,.0%,9,14,052,620L500US09052
State House District 53,House,Percent other race,0.034,Race and ethnicity,map,.0%,9,14,053,620L500US09053
State House District 54,House,Percent other race,0.149,Race and ethnicity,map,.0%,9,14,054,620L500US09054
State House District 55,House,Percent other race,0.027,Race and ethnicity,map,.0%,9,14,055,620L500US09055
State House District 56,House,Percent other race,0.08,Race and ethnicity,map,.0%,9,14,056,620L500US09056
State House District 57,House,Percent other race,0.063,Race and ethnicity,map,.0%,9,14,057,620L500US09057
State House District 58,House,Percent other race,0.066,Race and ethnicity,map,.0%,9,14,058,620L500US09058
State House District 59,House,Percent other race,0.052,Race and ethnicity,map,.0%,9,14,059,620L500US09059
State House District 60,House,Percent other race,0.102,Race and ethnicity,map,.0%,9,14,060,620L500US09060
State House District 61,House,Percent other race,0.05,Race and ethnicity,map,.0%,9,14,061,620L500US09061
State House District 62,House,Percent other race,0.027,Race and ethnicity,map,.0%,9,14,062,620L500US09062
State House District 63,House,Percent other race,0.042,Race and ethnicity,map,.0%,9,14,063,620L500US09063
State House District 64,House,Percent other race,0.029,Race and ethnicity,map,.0%,9,14,064,620L500US09064
State House District 65,House,Percent other race,0.06,Race and ethnicity,map,.0%,9,14,065,620L500US09065
State House District 66,House,Percent other race,0.026,Race and ethnicity,map,.0%,9,14,066,620L500US09066
State House District 67,House,Percent other race,0.043,Race and ethnicity,map,.0%,9,14,067,620L500US09067
State House District 68,House,Percent other race,0.019,Race and ethnicity,map,.0%,9,14,068,620L500US09068
State House District 69,House,Percent other race,0.035,Race and ethnicity,map,.0%,9,14,069,620L500US09069
State House District 70,House,Percent other race,0.055,Race and ethnicity,map,.0%,9,14,070,620L500US09070
State House District 71,House,Percent other race,0.065,Race and ethnicity,map,.0%,9,14,071,620L500US09071
State House District 72,House,Percent other race,0.049,Race and ethnicity,map,.0%,9,14,072,620L500US09072
State House District 73,House,Percent other race,0.066,Race and ethnicity,map,.0%,9,14,073,620L500US09073
State House District 74,House,Percent other race,0.058,Race and ethnicity,map,.0%,9,14,074,620L500US09074
State House District 75,House,Percent other race,0.054,Race and ethnicity,map,.0%,9,14,075,620L500US09075
State House District 76,House,Percent other race,0.021,Race and ethnicity,map,.0%,9,14,076,620L500US09076
State House District 77,House,Percent other race,0.039,Race and ethnicity,map,.0%,9,14,077,620L500US09077
State House District 78,House,Percent other race,0.033,Race and ethnicity,map,.0%,9,14,078,620L500US09078
State House District 79,House,Percent other race,0.062,Race and ethnicity,map,.0%,9,14,079,620L500US09079
State House District 80,House,Percent other race,0.023,Race and ethnicity,map,.0%,9,14,080,620L500US09080
State House District 81,House,Percent other race,0.024,Race and ethnicity,map,.0%,9,14,081,620L500US09081
State House District 82,House,Percent other race,0.043,Race and ethnicity,map,.0%,9,14,082,620L500US09082
State House District 83,House,Percent other race,0.031,Race and ethnicity,map,.0%,9,14,083,620L500US09083
State House District 84,House,Percent other race,0.017,Race and ethnicity,map,.0%,9,14,084,620L500US09084
State House District 85,House,Percent other race,0.06,Race and ethnicity,map,.0%,9,14,085,620L500US09085
State House District 86,House,Percent other race,0.03,Race and ethnicity,map,.0%,9,14,086,620L500US09086
State House District 87,House,Percent other race,0.086,Race and ethnicity,map,.0%,9,14,087,620L500US09087
State House District 88,House,Percent other race,0.077,Race and ethnicity,map,.0%,9,14,088,620L500US09088
State House District 89,House,Percent other race,0.058,Race and ethnicity,map,.0%,9,14,089,620L500US09089
State House District 90,House,Percent other race,0.069,Race and ethnicity,map,.0%,9,14,090,620L500US09090
State House District 91,House,Percent other race,0.086,Race and ethnicity,map,.0%,9,14,091,620L500US09091
State House District 92,House,Percent other race,0.067,Race and ethnicity,map,.0%,9,14,092,620L500US09092
State House District 93,House,Percent other race,0.08,Race and ethnicity,map,.0%,9,14,093,620L500US09093
State House District 94,House,Percent other race,0.106,Race and ethnicity,map,.0%,9,14,094,620L500US09094
State House District 95,House,Percent other race,0.036,Race and ethnicity,map,.0%,9,14,095,620L500US09095
State House District 96,House,Percent other race,0.127,Race and ethnicity,map,.0%,9,14,096,620L500US09096
State House District 97,House,Percent other race,0.033,Race and ethnicity,map,.0%,9,14,097,620L500US09097
State House District 98,House,Percent other race,0.04,Race and ethnicity,map,.0%,9,14,098,620L500US09098
State House District 99,House,Percent other race,0.058,Race and ethnicity,map,.0%,9,14,099,620L500US09099
State House District 100,House,Percent other race,0.081,Race and ethnicity,map,.0%,9,14,100,620L500US09100
State House District 101,House,Percent other race,0.053,Race and ethnicity,map,.0%,9,14,101,620L500US09101
State House District 102,House,Percent other race,0.067,Race and ethnicity,map,.0%,9,14,102,620L500US09102
State House District 103,House,Percent other race,0.071,Race and ethnicity,map,.0%,9,14,103,620L500US09103
State House District 104,House,Percent other race,0.048,Race and ethnicity,map,.0%,9,14,104,620L500US09104
State House District 105,House,Percent other race,0.038,Race and ethnicity,map,.0%,9,14,105,620L500US09105
State House District 106,House,Percent other race,0.037,Race and ethnicity,map,.0%,9,14,106,620L500US09106
State House District 107,House,Percent other race,0.075,Race and ethnicity,map,.0%,9,14,107,620L500US09107
State House District 108,House,Percent other race,0.056,Race and ethnicity,map,.0%,9,14,108,620L500US09108
State House District 109,House,Percent other race,0.132,Race and ethnicity,map,.0%,9,14,109,620L500US09109
State House District 110,House,Percent other race,0.111,Race and ethnicity,map,.0%,9,14,110,620L500US09110
State House District 111,House,Percent other race,0.039,Race and ethnicity,map,.0%,9,14,111,620L500US09111
State House District 112,House,Percent other race,0.057,Race and ethnicity,map,.0%,9,14,112,620L500US09112
State House District 113,House,Percent other race,0.045,Race and ethnicity,map,.0%,9,14,113,620L500US09113
State House District 114,House,Percent other race,0.114,Race and ethnicity,map,.0%,9,14,114,620L500US09114
State House District 115,House,Percent other race,0.054,Race and ethnicity,map,.0%,9,14,115,620L500US09115
State House District 116,House,Percent other race,0.115,Race and ethnicity,map,.0%,9,14,116,620L500US09116
State House District 117,House,Percent other race,0.056,Race and ethnicity,map,.0%,9,14,117,620L500US09117
State House District 118,House,Percent other race,0.074,Race and ethnicity,map,.0%,9,14,118,620L500US09118
State House District 119,House,Percent other race,0.06,Race and ethnicity,map,.0%,9,14,119,620L500US09119
State House District 120,House,Percent other race,0.043,Race and ethnicity,map,.0%,9,14,120,620L500US09120
State House District 121,House,Percent other race,0.067,Race and ethnicity,map,.0%,9,14,121,620L500US09121
State House District 122,House,Percent other race,0.047,Race and ethnicity,map,.0%,9,14,122,620L500US09122
State House District 123,House,Percent other race,0.084,Race and ethnicity,map,.0%,9,14,123,620L500US09123
State House District 124,House,Percent other race,0.048,Race and ethnicity,map,.0%,9,14,124,620L500US09124
State House District 125,House,Percent other race,0.072,Race and ethnicity,map,.0%,9,14,125,620L500US09125
State House District 126,House,Percent other race,0.068,Race and ethnicity,map,.0%,9,14,126,620L500US09126
State House District 127,House,Percent other race,0.051,Race and ethnicity,map,.0%,9,14,127,620L500US09127
State House District 128,House,Percent other race,0.053,Race and ethnicity,map,.0%,9,14,128,620L500US09128
State House District 129,House,Percent other race,0.062,Race and ethnicity,map,.0%,9,14,129,620L500US09129
State House District 130,House,Percent other race,0.083,Race and ethnicity,map,.0%,9,14,130,620L500US09130
State House District 131,House,Percent other race,0.053,Race and ethnicity,map,.0%,9,14,131,620L500US09131
State House District 132,House,Percent other race,0.061,Race and ethnicity,map,.0%,9,14,132,620L500US09132
State House District 133,House,Percent other race,0.106,Race and ethnicity,map,.0%,9,14,133,620L500US09133
State House District 134,House,Percent other race,0.041,Race and ethnicity,map,.0%,9,14,134,620L500US09134
State House District 135,House,Percent other race,0.053,Race and ethnicity,map,.0%,9,14,135,620L500US09135
State House District 136,House,Percent other race,0.086,Race and ethnicity,map,.0%,9,14,136,620L500US09136
State House District 137,House,Percent other race,0.082,Race and ethnicity,map,.0%,9,14,137,620L500US09137
State House District 138,House,Percent other race,0.086,Race and ethnicity,map,.0%,9,14,138,620L500US09138
State House District 139,House,Percent other race,0.129,Race and ethnicity,map,.0%,9,14,139,620L500US09139
State House District 140,House,Percent other race,0.059,Race and ethnicity,map,.0%,9,14,140,620L500US09140
State House District 141,House,Percent other race,0.073,Race and ethnicity,map,.0%,9,14,141,620L500US09141
State House District 142,House,Percent other race,0.084,Race and ethnicity,map,.0%,9,14,142,620L500US09142
State House District 143,House,Percent other race,0.061,Race and ethnicity,map,.0%,9,14,143,620L500US09143
State House District 144,House,Percent other race,0.116,Race and ethnicity,map,.0%,9,14,144,620L500US09144
State House District 145,House,Percent other race,0.047,Race and ethnicity,map,.0%,9,14,145,620L500US09145
State House District 146,House,Percent other race,0.156,Race and ethnicity,map,.0%,9,14,146,620L500US09146
State House District 147,House,Percent other race,0.1,Race and ethnicity,map,.0%,9,14,147,620L500US09147
State House District 148,House,Percent other race,0.076,Race and ethnicity,map,.0%,9,14,148,620L500US09148
State House District 149,House,Percent other race,0.064,Race and ethnicity,map,.0%,9,14,149,620L500US09149
State House District 150,House,Percent other race,0.115,Race and ethnicity,map,.0%,9,14,150,620L500US09150
State House District 151,House,Percent other race,0.113,Race and ethnicity,map,.0%,9,14,151,620L500US09151
State Senate District 1,Senate,Percent other race,0.061,Race and ethnicity,map,.0%,9,14,001,610U500US09001
State Senate District 2,Senate,Percent other race,0.056,Race and ethnicity,map,.0%,9,14,002,610U500US09002
State Senate District 3,Senate,Percent other race,0.084,Race and ethnicity,map,.0%,9,14,003,610U500US09003
State Senate District 4,Senate,Percent other race,0.118,Race and ethnicity,map,.0%,9,14,004,610U500US09004
State Senate District 5,Senate,Percent other race,0.094,Race and ethnicity,map,.0%,9,14,005,610U500US09005
State Senate District 6,Senate,Percent other race,0.051,Race and ethnicity,map,.0%,9,14,006,610U500US09006
State Senate District 7,Senate,Percent other race,0.055,Race and ethnicity,map,.0%,9,14,007,610U500US09007
State Senate District 8,Senate,Percent other race,0.055,Race and ethnicity,map,.0%,9,14,008,610U500US09008
State Senate District 9,Senate,Percent other race,0.095,Race and ethnicity,map,.0%,9,14,009,610U500US09009
State Senate District 10,Senate,Percent other race,0.082,Race and ethnicity,map,.0%,9,14,010,610U500US09010
State Senate District 11,Senate,Percent other race,0.081,Race and ethnicity,map,.0%,9,14,011,610U500US09011
State Senate District 12,Senate,Percent other race,0.045,Race and ethnicity,map,.0%,9,14,012,610U500US09012
State Senate District 13,Senate,Percent other race,0.048,Race and ethnicity,map,.0%,9,14,013,610U500US09013
State Senate District 14,Senate,Percent other race,0.066,Race and ethnicity,map,.0%,9,14,014,610U500US09014
State Senate District 15,Senate,Percent other race,0.061,Race and ethnicity,map,.0%,9,14,015,610U500US09015
State Senate District 16,Senate,Percent other race,0.041,Race and ethnicity,map,.0%,9,14,016,610U500US09016
State Senate District 17,Senate,Percent other race,0.068,Race and ethnicity,map,.0%,9,14,017,610U500US09017
State Senate District 18,Senate,Percent other race,0.084,Race and ethnicity,map,.0%,9,14,018,610U500US09018
State Senate District 19,Senate,Percent other race,0.091,Race and ethnicity,map,.0%,9,14,019,610U500US09019
State Senate District 20,Senate,Percent other race,0.07,Race and ethnicity,map,.0%,9,14,020,610U500US09020
State Senate District 21,Senate,Percent other race,0.049,Race and ethnicity,map,.0%,9,14,021,610U500US09021
State Senate District 22,Senate,Percent other race,0.067,Race and ethnicity,map,.0%,9,14,022,610U500US09022
State Senate District 23,Senate,Percent other race,0.06,Race and ethnicity,map,.0%,9,14,023,610U500US09023
State Senate District 24,Senate,Percent other race,0.094,Race and ethnicity,map,.0%,9,14,024,610U500US09024
State Senate District 25,Senate,Percent other race,0.072,Race and ethnicity,map,.0%,9,14,025,610U500US09025
State Senate District 26,Senate,Percent other race,0.067,Race and ethnicity,map,.0%,9,14,026,610U500US09026
State Senate District 27,Senate,Percent other race,0.099,Race and ethnicity,map,.0%,9,14,027,610U500US09027
State Senate District 28,Senate,Percent other race,0.061,Race and ethnicity,map,.0%,9,14,028,610U500US09028
State Senate District 29,Senate,Percent other race,0.063,Race and ethnicity,map,.0%,9,14,029,610U500US09029
State Senate District 30,Senate,Percent other race,0.045,Race and ethnicity,map,.0%,9,14,030,610U500US09030
State Senate District 31,Senate,Percent other race,0.04,Race and ethnicity,map,.0%,9,14,031,610U500US09031
State Senate District 32,Senate,Percent other race,0.033,Race and ethnicity,map,.0%,9,14,032,610U500US09032
State Senate District 33,Senate,Percent other race,0.037,Race and ethnicity,map,.0%,9,14,033,610U500US09033
State Senate District 34,Senate,Percent other race,0.06,Race and ethnicity,map,.0%,9,14,034,610U500US09034
State Senate District 35,Senate,Percent other race,0.038,Race and ethnicity,map,.0%,9,14,035,610U500US09035
State Senate District 36,Senate,Percent other race,0.094,Race and ethnicity,map,.0%,9,14,036,610U500US09036
Connecticut,State,Percent other race,0.067,Race and ethnicity,map,.0%,9,14,,Connecticut
State House District 1,House,Total population,22923,Immigration,table,",",1,15,001,620L500US09001
State House District 2,House,Total population,24363,Immigration,table,",",1,15,002,620L500US09002
State House District 3,House,Total population,21702,Immigration,table,",",1,15,003,620L500US09003
State House District 4,House,Total population,23089,Immigration,table,",",1,15,004,620L500US09004
State House District 5,House,Total population,23978,Immigration,table,",",1,15,005,620L500US09005
State House District 6,House,Total population,23375,Immigration,table,",",1,15,006,620L500US09006
State House District 7,House,Total population,23314,Immigration,table,",",1,15,007,620L500US09007
State House District 8,House,Total population,23714,Immigration,table,",",1,15,008,620L500US09008
State House District 9,House,Total population,25757,Immigration,table,",",1,15,009,620L500US09009
State House District 10,House,Total population,22826,Immigration,table,",",1,15,010,620L500US09010
State House District 11,House,Total population,24236,Immigration,table,",",1,15,011,620L500US09011
State House District 12,House,Total population,24344,Immigration,table,",",1,15,012,620L500US09012
State House District 13,House,Total population,23632,Immigration,table,",",1,15,013,620L500US09013
State House District 14,House,Total population,24218,Immigration,table,",",1,15,014,620L500US09014
State House District 15,House,Total population,23022,Immigration,table,",",1,15,015,620L500US09015
State House District 16,House,Total population,24015,Immigration,table,",",1,15,016,620L500US09016
State House District 17,House,Total population,23458,Immigration,table,",",1,15,017,620L500US09017
State House District 18,House,Total population,23129,Immigration,table,",",1,15,018,620L500US09018
State House District 19,House,Total population,24841,Immigration,table,",",1,15,019,620L500US09019
State House District 20,House,Total population,22079,Immigration,table,",",1,15,020,620L500US09020
State House District 21,House,Total population,23920,Immigration,table,",",1,15,021,620L500US09021
State House District 22,House,Total population,23115,Immigration,table,",",1,15,022,620L500US09022
State House District 23,House,Total population,22996,Immigration,table,",",1,15,023,620L500US09023
State House District 24,House,Total population,22550,Immigration,table,",",1,15,024,620L500US09024
State House District 25,House,Total population,24244,Immigration,table,",",1,15,025,620L500US09025
